A: TGF.Non.v.CON.Non.TT,,,,,,,,,,,,,,,,,,,
B: TpS.Non.v.TGF.Non.TT,,,,,,,,,,,,,,,,,,,
C: TpK.Non.v.TGF.Non.TT,,,,,,,,,,,,,,,,,,,
D: TpK.Non.v.TpS.Non.TT,,,,,,,,,,,,,,,,,,,
>> A.only (TGF.Non.v.CON.Non.TT),,,,,,,,,,,,,,,,,,,
,,,,A,,,,,,,,,,,,,,,
PROBE_ID,ILMN_GENE,ACCESSION,CHROMOSOME,FDR_TGF.Non.v.CON.NonNA,FC_TGF.Non.v.CON.Non,AveExpr_TGF.Non.v.CON.Non,t_TGF.Non.v.CON.Non,,,,,,,,,,,,
ILMN_1659099,ROCK2,NM_004850.3,2,0.013274804,-1.37405074,8.495551505,-3.952686344,,,,,,,,,,,,
ILMN_2346727,MTUS1,NM_001001924.1,8,0.038058876,-1.373746875,6.820485318,-3.29839813,,,,,,,,,,,,
ILMN_3294033,LOC339970,XR_038632.1,,0.029727536,-1.373117037,9.71231148,-3.455411999,,,,,,,,,,,,
ILMN_1746252,LOC391811,XR_018614.1,,0.023279501,-1.372261547,11.30959521,-3.609969411,,,,,,,,,,,,
ILMN_2401933,ATP2B1,NM_001001323.1,12,0.044205385,-1.371734476,7.590734642,-3.207333566,,,,,,,,,,,,
ILMN_1759341,MAN2B1,NM_000528.2,19,0.040812301,-1.368838255,7.637914785,-3.253863869,,,,,,,,,,,,
ILMN_1777017,LOC642782,XM_926946.1,7,0.004205534,-1.364467408,6.174736218,-4.645769253,,,,,,,,,,,,
ILMN_2230162,FLJ44124,NM_001039755.1,7,0.047297298,-1.364240276,10.39929578,-3.168502113,,,,,,,,,,,,
ILMN_2211724,C21ORF24,NM_001001789.1,21,0.048890949,-1.362772416,11.17658325,-3.147751173,,,,,,,,,,,,
ILMN_3277365,LOC100133233,XM_001718033.1,,0.029009623,-1.361863922,12.32224964,-3.468551208,,,,,,,,,,,,
ILMN_1890614,HS.193406,AK092074,1,0.034462192,-1.352416257,6.592337278,-3.361736094,,,,,,,,,,,,
ILMN_3229570,LOC729500,XR_015567.2,1,0.038892702,-1.351992676,9.861459277,-3.282833601,,,,,,,,,,,,
ILMN_3249230,LOC100133649,XM_001725102.1,,0.028893236,-1.351538421,12.86398601,-3.471528362,,,,,,,,,,,,
ILMN_1658830,C10ORF26,NM_001083913.1,10,0.015982735,-1.351249394,8.195424592,-3.838387187,,,,,,,,,,,,
ILMN_1793267,ETHE1,NM_014297.3,19,0.008475721,-1.351241041,6.774066367,-4.225366636,,,,,,,,,,,,
ILMN_2405078,OSBPL8,NM_020841.4,12,0.035739199,-1.349503605,7.480323948,-3.338940615,,,,,,,,,,,,
ILMN_1738482,CEP27,NM_018097.1,15,0.035098319,-1.348614709,8.603570341,-3.350975157,,,,,,,,,,,,
ILMN_2073592,CAND2,NM_012298.1,3,0.033826437,-1.345219501,6.368458036,-3.375502373,,,,,,,,,,,,
ILMN_1764166,BCKDHB,NM_183050.1,6,0.031234012,-1.337398176,7.268602408,-3.425098781,,,,,,,,,,,,
ILMN_3294213,LOC401098,XR_017816.1,,0.039966731,-1.337103134,8.882347172,-3.265940289,,,,,,,,,,,,
ILMN_2316974,LILRB1,NM_001081637.1,19,0.034329511,-1.334713804,11.37778849,-3.364739138,,,,,,,,,,,,
ILMN_2363392,TNFSF14,NM_172014.1,19,0.024378944,-1.333811481,8.859646099,-3.577914631,,,,,,,,,,,,
ILMN_2157219,AASS,NM_005763.2,7,0.033145454,-1.32868728,6.799715934,-3.386506355,,,,,,,,,,,,
