A: TGF.Non.v.CON.Non.TT,,,,,,,,,,,,,,,,,,,
B: TpS.Non.v.TGF.Non.TT,,,,,,,,,,,,,,,,,,,
C: TpK.Non.v.TGF.Non.TT,,,,,,,,,,,,,,,,,,,
D: TpK.Non.v.TpS.Non.TT,,,,,,,,,,,,,,,,,,,
>> A.only (TGF.Non.v.CON.Non.TT),,,,,,,,,,,,,,,,,,,
,,,,A,,,,,,,,,,,,,,,
PROBE_ID,ILMN_GENE,ACCESSION,CHROMOSOME,FDR_TGF.Non.v.CON.NonNA,FC_TGF.Non.v.CON.Non,AveExpr_TGF.Non.v.CON.Non,t_TGF.Non.v.CON.Non,,,,,,,,,,,,
ILMN_1801864,LOC730455,XM_001125904.1,,0.004570933,-1.482313901,10.30600898,-4.591032338,1.51E-05,1.901552542,10.30600898,7.496162447,0.008511116,1.425772107,10.30600898,4.137406726,,,,
ILMN_1732688,DUT,NM_001025248.1,15,0.009328027,-1.481155176,7.821348586,-4.169030402,0.000500585,1.665416605,7.821348586,5.413438627,0.004326998,1.532871064,7.821348586,4.533271124,,,,
ILMN_1761797,CSTB,NM_000100.2,21,0.026012204,-1.480966359,12.12207198,-3.538395013,0.009035867,1.53208442,12.12207198,3.844162097,0.003740664,1.669238344,12.12207198,4.616710755,,,,
ILMN_3243297,LOC641814,XM_935998.3,7,0.001336018,-1.480688831,13.41360877,-5.333112959,0.000150812,1.566437424,13.41360877,6.098029681,0.000695884,1.509471077,13.41360877,5.594694203,,,,
ILMN_3290261,LOC644877,XR_017355.2,2,0.000621204,-1.480220213,8.018336065,-5.783577572,0.000271429,1.478085002,8.018336065,5.762289959,9.77E-05,1.590078176,8.018336065,6.839338248,,,,
ILMN_1730347,CCDC115,NM_032357.2,2,0.011342377,-1.480117561,8.810263878,-4.045221679,3.09E-05,1.97972206,8.810263878,7.045546228,0.00161215,1.640331226,8.810263878,5.105491001,,,,
ILMN_1802669,PPP3CB,NM_021132.1,10,0.02174058,-1.479026527,9.981863615,-3.651291084,8.88E-05,1.985453058,9.981863615,6.398388144,0.006676071,1.582308611,9.981863615,4.281017959,,,,
ILMN_1778078,VPS16,NM_022575.2,20,0.03425087,-1.476891132,9.555985378,-3.366019598,0.002319171,1.698281602,9.555985378,4.571739655,0.001418869,1.822339694,9.555985378,5.180344311,,,,
ILMN_1683065,C2ORF64,NM_001008215.1,2,0.013608842,-1.476771814,8.797957321,-3.937111625,0.001450292,1.61259974,8.797957321,4.82569813,0.026415563,1.409289409,8.797957321,3.464760565,,,,
ILMN_1677603,C1S,NM_201442.1,12,0.03674224,-1.475638703,7.707596842,-3.321639347,0.001957531,1.726850759,7.707596842,4.663715971,0.001582716,1.820784907,7.707596842,5.115902262,,,,
ILMN_1729294,RNF130,NM_018434.4,5,0.004498695,-1.4752638,9.013471696,-4.601902142,0.004174324,1.432875081,9.013471696,4.256864964,0.003290669,1.486003131,9.013471696,4.687744492,,,,
ILMN_1789830,CFLAR,NM_003879.3,2,0.016165744,-1.475115644,8.502309664,-3.82675111,0.000777506,1.689683958,8.502309664,5.163627178,0.019323442,1.448277465,8.502309664,3.645999143,,,,
ILMN_1680624,CREG1,NM_003851.2,1,0.027182649,-1.474694527,10.34721281,-3.508955462,0.010328801,1.518718177,10.34721281,3.77467441,0.000305692,1.963017938,10.34721281,6.092742196,,,,
ILMN_1691131,LSMD1,NM_032356.3,17,0.000883375,-1.472998659,9.200144985,-5.576449955,1.95E-06,1.848437154,9.200144985,8.845435181,4.09E-06,1.890699877,9.200144985,9.170930424,,,,
ILMN_1804629,TPK1,NM_001042482.1,7,0.014804894,-1.472644504,7.44143939,-3.889155467,0.00014724,1.83712023,7.44143939,6.111152992,0.038404798,1.380628676,7.44143939,3.240853893,,,,
ILMN_2378868,SFRS5,NM_006925.3,14,0.047880889,-1.471656148,10.21019336,-3.160318161,0.03303494,1.465972013,10.21019336,3.128665893,0.037315704,1.489643163,10.21019336,3.259679829,,,,
ILMN_1784985,PRRT3,NM_207351.3,3,0.041618073,-1.471595707,7.427832033,-3.241636771,0.000458868,1.917672765,7.427832033,5.463140508,0.001781443,1.8244154,7.427832033,5.044852425,,,,
ILMN_2157709,C14ORF19,NR_002937.1,14,0.011004066,-1.470873616,7.0805631,-4.062516791,0.001856042,1.561585,7.0805631,4.692596974,0.02106826,1.407019388,7.0805631,3.595227724,,,,
ILMN_1731851,OXA1L,NM_005015.1,14,0.003511666,-1.470571124,9.720008386,-4.748999881,9.74E-05,1.673998809,9.720008386,6.344488142,0.019727505,1.343205524,9.720008386,3.633428756,,,,
ILMN_1696316,CPT1A,NM_001031847.1,11,0.01059108,-1.470379068,6.928076093,-4.088396815,0.000676976,1.639180317,6.928076093,5.240893803,0.000607403,1.708712215,6.928076093,5.68145971,,,,
ILMN_1740185,TPMT,NM_000367.2,6,0.010879468,-1.470252,8.987824142,-4.070041538,0.00091283,1.616812141,8.987824142,5.073445599,0.009859388,1.467768565,8.987824142,4.052189945,,,,
ILMN_3244728,LOC100134159,XM_001718261.1,,0.00628904,-1.470103136,10.67782839,-4.392825249,0.002039774,1.502639287,10.67782839,4.642379199,0.030315329,1.345671748,10.67782839,3.384610213,,,,
ILMN_1794213,ABHD14A,NM_015407.3,3,0.011494293,-1.469153794,8.760482187,-4.036935687,0.001035315,1.611349238,8.760482187,5.006435137,0.020906555,1.409326859,8.760482187,3.600650198,,,,
ILMN_1804679,MYST1,NM_032188.1,16,0.00294353,-1.468518603,8.258679701,-4.853987415,0.00047665,1.538437903,8.258679701,5.441555641,0.000609273,1.567632522,8.258679701,5.679028725,,,,
ILMN_1813846,P2RX4,NM_002560.2,12,0.024252869,-1.468517796,7.415221911,-3.582005899,0.024650511,1.42392054,7.415221911,3.294519826,0.044850695,1.401252664,7.415221911,3.144926082,,,,
ILMN_1803018,KIFC2,NM_145754.2,8,0.005357877,-1.467838225,7.064508686,-4.492081511,0.001760696,1.49685929,7.064508686,4.721236845,0.018657697,1.368103726,7.064508686,3.668492834,,,,
ILMN_2222984,RDH14,NM_020905.1,2,7.26E-05,-1.467604169,10.63329079,-7.200213041,2.69E-07,1.744313171,10.63329079,10.44210247,8.04E-06,1.583571656,10.63329079,8.62759311,,,,
ILMN_1815552,NTAN1,NM_173474.2,16,0.00435286,-1.467411833,10.2420034,-4.624686913,1.43E-05,1.867854102,10.2420034,7.534440078,0.000187874,1.700237096,10.2420034,6.400608224,,,,
ILMN_1662618,SQSTM1,NM_003900.3,5,0.001006445,-1.467284377,13.26976722,-5.491044582,3.83E-05,1.619542434,13.26976722,6.905008594,6.59E-06,1.846140158,13.26976722,8.780454458,,,,
ILMN_1664698,UNC119,NM_054035.1,17,0.000607402,-1.46726192,7.811527575,-5.796633506,8.16E-06,1.68495255,7.811527575,7.888200562,3.84E-06,1.839940604,7.811527575,9.218619286,,,,
ILMN_1800220,KCTD3,NM_016121.3,1,0.026737461,-1.466538799,8.709845875,-3.519900778,0.002049582,1.656405097,8.709845875,4.639052481,0.044533823,1.408448647,8.709845875,3.148369852,,,,
ILMN_1760174,MCCC1,NM_020166.3,3,0.004634903,-1.464679908,8.363365419,-4.579615196,0.000601023,1.556355067,8.363365419,5.308129536,0.006997389,1.425073109,8.363365419,4.250653723,,,,
ILMN_1767470,SCPEP1,NM_021626.1,17,0.001625065,-1.464631667,10.62903557,-5.21734383,3.36E-05,1.667632222,10.62903557,6.99200243,0.000473919,1.532637873,10.62903557,5.837875662,,,,
ILMN_1779163,C11ORF67,NM_024684.2,11,0.028297488,-1.464162943,9.523063066,-3.483924614,0.004438889,1.587870795,9.523063066,4.225058098,0.000604126,1.863099807,9.523063066,5.685642985,,,,
ILMN_1707070,PCOLCE,NM_002593.2,7,0.000699984,-1.462275776,12.56701351,-5.70975505,0.000195545,1.486266801,12.56701351,5.954279195,0.000971684,1.43313801,12.56701351,5.407320748,,,,
ILMN_2160005,NUMA1,NM_006185.2,11,0.005860199,-1.461178558,8.794571848,-4.436285746,0.000358984,1.615129184,8.794571848,5.608065975,0.002633451,1.5094112,8.794571848,4.816184684,,,,
ILMN_1802553,MRPS24,NM_032014.2,7,0.000125546,-1.460773435,10.70565259,-6.827571805,3.88E-06,1.592658582,10.70565259,8.384877581,0.003796769,1.291389051,10.70565259,4.607103756,,,,
ILMN_2230892,IL10RB,NM_000628.3,21,0.004685474,-1.460717862,10.1571778,-4.571961563,7.66E-05,1.711178166,10.1571778,6.481379032,0.000539592,1.610820925,10.1571778,5.752161264,,,,
ILMN_3219806,LOC643384,XR_016363.2,4,0.02139753,-1.460522104,8.331455822,-3.659858233,0.001857871,1.62507674,8.331455822,4.691369749,0.024355913,1.438363277,8.331455822,3.512146368,,,,
ILMN_1725241,GSTK1,NM_015917.1,7,0.018633291,-1.460323709,10.88087737,-3.740036827,6.38E-05,1.948675124,10.88087737,6.589491471,0.000147468,1.94474642,10.88087737,6.56955829,,,,
ILMN_1709237,EPHX2,NM_001979.4,8,0.001740918,-1.459775828,6.632287279,-5.176777992,4.62E-05,1.643001098,6.632287279,6.79490738,0.026475076,1.287955386,6.632287279,3.463055664,,,,
ILMN_3214052,LOC644877,XR_038951.1,,0.001297769,-1.459663141,8.58023723,-5.350850301,0.000168131,1.532158823,8.58023723,6.036632419,0.009282239,1.335279464,8.58023723,4.090758459,,,,
ILMN_1736093,SNX33,NM_153271.1,15,0.004180083,-1.459137619,8.254174051,-4.648713527,3.73E-05,1.755862075,8.254174051,6.926214293,0.01006567,1.38855409,8.254174051,4.038688321,,,,
ILMN_1699772,RRAGD,NM_021244.3,6,0.038642219,-1.459031019,7.425655723,-3.287795301,0.00091283,1.791341892,7.425655723,5.073607618,0.047750693,1.428686513,7.425655723,3.104881808,,,,
ILMN_2043809,PFKM,NM_000289.3,12,0.004365758,-1.458652789,9.025721961,-4.622309376,5.55E-06,1.944702119,9.025721961,8.143657474,7.44E-06,2.031809377,9.025721961,8.680168153,,,,
ILMN_1773855,CPT1C,NM_152359.1,19,0.034427609,-1.458164703,8.175988491,-3.362637311,0.016659967,1.483188463,8.175988491,3.514334963,0.005142797,1.645122368,8.175988491,4.438137663,,,,
ILMN_1743340,CHST14,NM_130468.2,15,0.003037521,-1.457504148,8.297836448,-4.833849336,0.000441855,1.533617666,8.297836448,5.487009308,0.018276537,1.332368426,8.297836448,3.682024229,,,,
ILMN_1805750,IFITM3,NM_021034.2,11,0.024639002,-1.455988564,13.06376628,-3.57103507,0.011044806,1.48191182,13.06376628,3.738785603,0.006867045,1.565766415,13.06376628,4.261985347,,,,
ILMN_2415748,WSB1,NM_134265.2,17,0.049387444,-1.455757996,10.1187337,-3.139031597,0.004264241,1.66186028,10.1187337,4.245855626,0.004203549,1.723290811,10.1187337,4.549271799,,,,
ILMN_1792384,HABP4,NM_014282.1,9,0.004729742,-1.455453003,7.898234388,-4.564946208,0.000600538,1.547260678,7.898234388,5.308937157,0.018410174,1.352995384,7.898234388,3.677099901,,,,
ILMN_1755051,EFHC1,NM_018100.2,,0.016218231,-1.453343841,7.807565536,-3.824377062,0.000257793,1.761358635,7.807565536,5.790626785,0.00254367,1.60443691,7.807565536,4.836109327,,,,
ILMN_1712487,LGTN,NM_006893.2,1,0.000318935,-1.453056906,9.406890848,-6.195081712,1.76E-05,1.562262556,9.406890848,7.396491304,0.017668267,1.250155754,9.406890848,3.701571126,,,,
ILMN_1854833,HS.485155,AK026168,6,0.011469002,-1.452481865,7.927888923,-4.038809858,0.021187604,1.366450769,7.927888923,3.378174779,0.001547003,1.606825566,7.927888923,5.131483943,,,,
ILMN_1754529,SPG7,NM_003119.2,16,0.003885878,-1.45162117,9.718328061,-4.687433832,8.35E-05,1.667603137,9.718328061,6.432027613,0.00016663,1.67490801,9.718328061,6.487003016,,,,
ILMN_1815682,C3ORF37,NM_020187.2,3,0.003565151,-1.451462834,8.292195377,-4.740254061,0.00119848,1.473122489,8.292195377,4.928712982,0.00357864,1.440255045,8.292195377,4.641628902,,,,
ILMN_1781623,TEX264,NM_015926.3,3,0.010135138,-1.449848547,8.759740571,-4.116710669,0.000434605,1.641986025,8.759740571,5.495904061,0.001046383,1.622654222,8.759740571,5.364650396,,,,
ILMN_1704195,FUK,NM_145059.2,16,0.00027791,-1.449588352,7.171700391,-6.29514414,0.000467729,1.379230773,7.171700391,5.451557201,0.00434141,1.306318437,7.171700391,4.530664147,,,,
ILMN_1665291,NUB1,NM_016118.3,7,0.002885883,-1.448888033,9.39512422,-4.86728255,0.00071863,1.487008824,9.39512422,5.208182212,0.002416901,1.448930007,9.39512422,4.867662812,,,,
ILMN_1705737,IMPDH2,NM_000884.2,3,0.049848187,-1.448249051,11.87724261,-3.133832107,0.023244737,1.481581832,11.87724261,3.32637829,0.023927261,1.516238944,11.87724261,3.522034322,,,,
ILMN_1710844,PARP10,XM_001127571.1,,0.00266814,-1.447301445,6.859214308,-4.912224122,9.17E-05,1.616531005,6.859214308,6.381526872,0.008003671,1.369231831,6.859214308,4.175446811,,,,
ILMN_2231911,AUH,NM_001698.1,9,0.046583256,-1.44656291,7.881200156,-3.176814598,0.003670628,1.652953195,7.881200156,4.324466052,0.001236102,1.842771533,7.881200156,5.259871445,,,,
ILMN_1790352,PIGZ,NM_025163.2,3,0.009239356,-1.446195592,7.544874724,-4.175142796,0.00047665,1.617419446,7.544874724,5.441431493,0.002950191,1.521449204,7.544874724,4.749204258,,,,
ILMN_1795400,TBCD,NM_005993.4,17,0.0342655,-1.445599345,8.683915343,-3.365689448,0.009132448,1.522368106,8.683915343,3.838253334,0.044122584,1.412593898,8.683915343,3.154753021,,,,
ILMN_1769390,ABHD15,NM_198147.1,17,0.009482451,-1.445148939,7.736316379,-4.157461061,0.00291538,1.482653124,7.736316379,4.446743164,0.008075952,1.446505257,7.736316379,4.168052987,,,,
ILMN_1686152,GGA2,NM_015044.3,16,0.007659768,-1.444320612,7.945429362,-4.281010788,5.94E-07,2.310489256,7.945429362,9.751881192,6.26E-05,1.846678989,7.945429362,7.142670123,,,,
ILMN_2142752,MANSC1,NM_018050.2,12,0.007954828,-1.443358726,6.719814884,-4.261320001,0.001226434,1.526866471,6.719814884,4.914438611,0.00656701,1.446948617,6.719814884,4.290165475,,,,
ILMN_2370091,NGFRAP1,NM_206917.1,X,0.001678331,-1.443275443,11.85113695,-5.198581176,8.10E-05,1.576701543,11.85113695,6.451344891,7.09E-05,1.644678659,11.85113695,7.049390645,,,,
ILMN_1773620,SMARCC2,NM_139067.1,12,0.000261105,-1.442515675,8.382233093,-6.338151062,2.06E-07,1.852634569,8.382233093,10.66670564,1.04E-05,1.628790872,8.382233093,8.439101813,,,,
ILMN_2309926,ZDHHC14,NM_024630.2,6,0.00558959,-1.441480153,7.590082991,-4.465600867,5.60E-06,1.946780825,7.590082991,8.135415635,0.000680805,1.583082578,7.590082991,5.609916186,,,,
ILMN_1740430,SLC2A4RG,NM_020062.3,20,0.009385099,-1.439797684,7.893749481,-4.164188222,0.004498224,1.446670999,7.893749481,4.21859587,0.001057541,1.598134857,7.893749481,5.356138632,,,,
ILMN_1659029,FAM116B,NM_001001794.2,,0.005510323,-1.439465857,7.528007192,-4.475423277,0.000543066,1.547819587,7.528007192,5.367076323,0.045982131,1.290072484,7.528007192,3.129207913,,,,
ILMN_2390544,DKFZP564J102,NM_015398.1,4,0.010997073,-1.433871157,6.846309951,-4.063259575,0.000205875,1.691387998,6.846309951,5.925568882,0.002680362,1.531414807,6.846309951,4.805313677,,,,
ILMN_2193591,UNC93B1,NM_030930.2,11,0.011640424,-1.433663745,7.375631605,-4.02934772,0.00324308,1.480570555,7.375631605,4.389453352,0.030725885,1.352271514,7.375631605,3.375590471,,,,
ILMN_1806123,MRPL23,NM_021134.2,11,0.021542153,-1.432636077,9.670882805,-3.655419546,0.00242486,1.564239866,9.670882805,4.54898802,0.041448235,1.369004777,9.670882805,3.193483514,,,,
ILMN_1683980,PLEKHM2,NM_015164.1,1,0.00208343,-1.432111933,10.17306086,-5.069224357,4.00E-06,1.808639844,10.17306086,8.36389857,0.001921939,1.425631179,10.17306086,5.005206886,,,,
ILMN_1808500,CEP68,NM_015147.1,2,0.032997412,-1.431895061,6.985948384,-3.389554883,0.023681094,1.420836829,6.985948384,3.316355637,0.041734924,1.401825127,6.985948384,3.18916698,,,,
ILMN_1692824,ASPA,NM_000049.2,17,0.03374369,-1.429859006,6.792696378,-3.377050282,3.83E-05,2.077916944,6.792696378,6.907232545,0.014631007,1.498108267,6.792696378,3.817412203,,,,
ILMN_1810875,SYNGR1,NM_004711.3,22,0.039463725,-1.429483927,7.068137939,-3.274016936,0.004192924,1.590916456,7.068137939,4.254414199,0.031295162,1.443666306,7.068137939,3.364476768,,,,
ILMN_1696004,LRRK1,NM_024652.3,15,0.001898445,-1.428742999,7.621791283,-5.121635937,1.03E-05,1.714509787,7.621791283,7.738934031,0.003008762,1.390964143,7.621791283,4.736963839,,,,
ILMN_1768510,MAN2B2,NM_015274.1,4,0.000171703,-1.427710013,11.3936372,-6.608489606,5.78E-06,1.547521477,11.3936372,8.104061155,0.000142396,1.42604914,11.3936372,6.586886621,,,,
ILMN_1773576,CPNE3,NM_003909.2,8,0.022447803,-1.426480591,10.18731366,-3.632494685,0.000321435,1.740467007,10.18731366,5.666951736,0.000734589,1.722898739,10.18731366,5.563202772,,,,
ILMN_1696419,STOM,NM_004099.4,9,0.003437357,-1.423413109,7.104138046,-4.763520947,8.02E-05,1.613820345,7.104138046,6.457420772,0.009713105,1.351153651,7.104138046,4.060593882,,,,
ILMN_1800634,NME4,NM_005009.2,16,0.003316559,-1.422845467,10.28717181,-4.781934108,2.25E-05,1.705856184,10.28717181,7.241771661,0.002233591,1.437296542,10.28717181,4.918957662,,,,
ILMN_1660199,ACAA2,NM_006111.1,18,0.049126598,-1.422530037,9.019709397,-3.14514202,0.00988553,1.530279505,9.019709397,3.796712393,0.010410238,1.568688654,9.019709397,4.01793452,,,,
ILMN_1741392,SLC25A20,NM_000387.3,3,0.038622443,-1.421854004,8.021201,-3.288859474,0.022181668,1.431473278,8.021201,3.351864084,0.009321778,1.548715347,8.021201,4.087467742,,,,
ILMN_1682567,CCDC106,NM_013301.2,19,0.008818551,-1.421387088,8.843900963,-4.202199591,0.000634259,1.555435805,8.843900963,5.279210867,0.009889755,1.403479313,8.843900963,4.050680858,,,,
ILMN_1676891,CDC2L6,NM_015076.3,6,0.00981639,-1.420877376,9.057776393,-4.137483905,5.59E-05,1.762523174,9.057776393,6.675417041,0.008813164,1.418642843,9.057776393,4.118945968,,,,
ILMN_1753275,DENND1A,NM_020946.1,9,0.002406101,-1.420519999,6.744052792,-4.975544713,0.00050931,1.463940985,6.744052792,5.402323552,0.048800837,1.243502951,6.744052792,3.089063072,,,,
ILMN_3272768,HSPC157,NR_023919.1,1,0.017089538,-1.420211096,7.871521064,-3.791326651,0.021285964,1.366609018,7.871521064,3.375529949,0.028817657,1.371505651,7.871521064,3.414184548,,,,
ILMN_1662364,AARS,NM_001605.2,16,0.014327502,-1.420152119,11.69666539,-3.90945473,0.003013031,1.487884613,11.69666539,4.428741087,0.005992545,1.476540026,11.69666539,4.343434692,,,,
ILMN_2070355,SDHAF1,NM_001042631.1,19,0.008072064,-1.419540518,8.522147222,-4.254140658,3.94E-05,1.763262285,8.522147222,6.887164089,0.006867045,1.420449678,8.522147222,4.261915361,,,,
ILMN_3242091,NCRNA00094,NR_015427.1,,0.0160469,-1.418158264,7.891382627,-3.834168917,0.00618218,1.446373013,7.891382627,4.050374019,0.009956868,1.445797746,7.891382627,4.046008109,,,,
ILMN_1776094,PPCS,NM_024664.2,1,0.006918118,-1.418140334,9.987948434,-4.335059595,0.00011219,1.656637916,9.987948434,6.263970814,0.000784743,1.561005194,9.987948434,5.526125403,,,,
ILMN_1778360,PYGB,NM_002862.3,20,0.001746274,-1.417625851,9.68223974,-5.174059444,5.85E-05,1.565346246,9.68223974,6.643672942,0.001073235,1.434151028,9.68223974,5.345886645,,,,
ILMN_2138435,MRPS27,NM_015084.1,5,0.012570181,-1.41665723,9.476462222,-3.984027474,0.002075205,1.499230732,9.476462222,4.632042093,0.016593396,1.38659756,9.476462222,3.738705141,,,,
ILMN_2158164,ZNF430,NM_025189.2,19,0.01333975,-1.415581327,11.72407143,-3.948540052,0.019179755,1.352856074,11.72407143,3.433615683,0.009613075,1.430531274,11.72407143,4.067898444,,,,
ILMN_2359601,CAMK2G,NM_172172.1,10,0.0329779,-1.415354486,7.525001119,-3.390142118,0.003049635,1.573263195,7.525001119,4.422388612,0.010152204,1.511666474,7.525001119,4.032614386,,,,
ILMN_3242211,TMEM187,NM_003492.2,X,0.034817929,-1.414886495,7.66942168,-3.356609744,0.001487081,1.644705026,7.66942168,4.812337089,0.03944896,1.395662083,7.66942168,3.224294951,,,,
ILMN_3289730,LOC100132199,XR_039723.1,15,0.003018129,-1.414568589,8.498185085,-4.837410788,0.001629942,1.407106363,8.498185085,4.763638119,0.022181859,1.291276855,8.498185085,3.565475926,,,,
ILMN_2411794,PTPRA,NM_080841.2,20,0.016845113,-1.414154512,9.079120095,-3.799583431,4.23E-05,1.867345567,9.079120095,6.847590261,0.000206918,1.782394072,9.079120095,6.337072997,,,,
ILMN_1809437,RHBDD2,NM_001040456.1,7,0.010343279,-1.413953718,10.05932746,-4.101732666,0.022101358,1.327489497,10.05932746,3.354538529,0.00463929,1.461526145,10.05932746,4.493579926,,,,
ILMN_2299612,TMEM150A,NM_001031738.1,2,0.004382505,-1.413611277,9.013970237,-4.617217844,0.025970148,1.277375763,9.013970237,3.265459079,0.026322011,1.296815068,9.013970237,3.466922991,,,,
ILMN_1887174,KIAA0146,NM_001080394.1,8,0.010358903,-1.413068449,8.07023454,-4.100829361,0.03188683,1.304069554,8.07023454,3.148765641,0.005756552,1.445457337,8.07023454,4.369608149,,,,
ILMN_1767766,PRDX2,NM_181738.1,19,0.003200869,-1.412839919,9.792690579,-4.802624926,0.000134018,1.558194072,9.792690579,6.16344073,0.000102224,1.632511141,9.792690579,6.810900982,,,,
ILMN_1657423,SPG21,NM_016630.3,15,0.015130504,-1.412831326,9.013258949,-3.874456715,0.00243725,1.500090795,9.013258949,4.546328033,0.000406594,1.697380508,9.013258949,5.93155929,,,,
ILMN_1665289,FLJ22222,XM_941411.1,,0.011305135,-1.41077154,7.281484974,-4.04684861,0.031928735,1.306967473,7.281484974,3.148109063,0.023393632,1.350760857,7.281484974,3.535681727,,,,
ILMN_2396996,PPCS,NM_001077447.1,1,0.011350961,-1.409611781,9.28239719,-4.04443317,0.000861912,1.542877848,9.28239719,5.108630382,0.000324185,1.672141846,9.28239719,6.056445982,,,,
ILMN_3231550,LOC100131718,XR_038705.1,,0.018812255,-1.409556239,8.952359128,-3.734282093,0.038539888,1.322462808,8.952359128,3.040466765,0.043079946,1.338144584,8.952359128,3.168704107,,,,
ILMN_1781906,RBM17,NM_032905.3,10,0.008739467,-1.40917613,9.037941585,-4.207599231,4.71E-05,1.738430833,9.037941585,6.783367043,0.001208947,1.537054548,9.037941585,5.273132651,,,,
ILMN_2355225,LSP1,NM_001013255.1,11,0.002047456,-1.40895802,7.916170798,-5.08062992,6.29E-05,1.560868163,7.916170798,6.597952039,0.034690444,1.24986142,7.916170798,3.305075293,,,,
ILMN_1806692,HEXB,NM_000521.2,5,0.01637614,-1.408616677,12.25393211,-3.818473042,0.001031102,1.567406543,12.25393211,5.008950428,0.005951499,1.477108534,12.25393211,4.347633739,,,,
ILMN_1756920,ADAM15,NM_207195.1,1,0.037759091,-1.408487406,10.82032282,-3.303772133,0.003817394,1.562396339,10.82032282,4.304062073,0.001234713,1.725317256,10.82032282,5.260809911,,,,
ILMN_2382505,SLC22A18,NM_002555.3,11,0.036095219,-1.408373261,7.371777702,-3.33328157,0.001496356,1.638910046,7.371777702,4.808925074,0.004112594,1.597955871,7.371777702,4.562593498,,,,
ILMN_1745471,IRF9,NM_006084.4,14,0.005626611,-1.40747168,9.982370719,-4.460621227,0.000136938,1.602147682,9.982370719,6.151324308,0.000122268,1.67010944,9.982370719,6.69349911,,,,
ILMN_1668469,KIAA0922,NM_015196.2,4,0.033310309,-1.404357896,7.784661075,-3.383896402,0.019186976,1.4113324,7.784661075,3.433263097,0.048576543,1.363860653,7.784661075,3.09231436,,,,
ILMN_1667260,MAPK3,NM_002746.1,,0.031283653,-1.404354655,10.333405,-3.423502427,0.001520253,1.609848558,10.333405,4.800273913,0.025132569,1.414564282,10.333405,3.496530599,,,,
ILMN_1716678,NPC2,NM_006432.3,14,0.004326447,-1.403001658,13.20117962,-4.630478034,0.000514936,1.483856342,13.20117962,5.396681826,0.001320027,1.46518984,13.20117962,5.223565468,,,,
ILMN_2376458,CSF2RA,NM_172249.1,XY,0.02350789,-1.401942023,10.246114,-3.603297684,0.015944132,1.393308041,10.246114,3.537412587,0.003938589,1.537287527,10.246114,4.586205859,,,,
ILMN_1735788,TRIOBP,NM_001039141.1,22,0.001191885,-1.401880651,10.79783334,-5.395650918,9.58E-06,1.627915685,10.79783334,7.783271682,0.001730642,1.372835105,10.79783334,5.061246302,,,,
ILMN_1796179,HIST1H2BK,NM_080593.1,6,0.017643573,-1.401729641,11.26708668,-3.771808454,0.001280554,1.549379051,11.26708668,4.890341779,0.016196933,1.39955882,11.26708668,3.7544981,,,,
ILMN_1710220,LOC729985,XM_001131964.1,2,0.018129415,-1.401073438,6.89419059,-3.755968685,0.00119854,1.556607538,6.89419059,4.928406103,0.004480658,1.499584313,6.89419059,4.512748109,,,,
ILMN_1741200,RFX5,NM_001025603.1,1,0.023325568,-1.400608209,8.588900464,-3.608778377,5.78E-06,2.131114033,8.588900464,8.104809488,5.93E-05,1.954340548,8.588900464,7.177277907,,,,
ILMN_1732151,COL6A1,NM_001848.2,21,0.027394558,-1.399822198,13.1059733,-3.504505773,0.032152205,1.35220398,13.1059733,3.143897717,0.049435195,1.34416534,13.1059733,3.081771345,,,,
ILMN_2361570,SNX14,NM_020468.2,6,0.034579937,-1.399499551,9.305162377,-3.359711726,0.003063096,1.555999547,9.305162377,4.419293302,0.031958097,1.39854887,9.305162377,3.352919314,,,,
ILMN_1749521,SLC35E3,NM_018656.2,12,0.019894316,-1.398293348,8.631621155,-3.70268739,0.000572967,1.621476083,8.631621155,5.338202308,0.001813378,1.57757752,8.631621155,5.035070768,,,,
ILMN_2357361,THYN1,NM_199298.1,11,0.039634149,-1.3979985,8.850037406,-3.271285839,0.003916197,1.55184074,8.850037406,4.290630965,0.008427395,1.52860675,8.850037406,4.143342748,,,,
ILMN_1721136,H6PD,NM_004285.3,1,0.033954051,-1.396992407,7.192630425,-3.372600438,0.02882637,1.374180366,7.192630425,3.206511487,0.014175529,1.462713497,7.192630425,3.836357199,,,,
ILMN_1911503,HS.443185,CA841942,20,0.006833266,-1.39689976,6.637822252,-4.343989385,0.001489649,1.448034775,6.637822252,4.811222156,0.012747478,1.349951851,6.637822252,3.899702216,,,,
ILMN_1857017,HS.551538,AL713633,7,0.015481718,-1.395574974,8.411846383,-3.8578528,0.000206903,1.668019387,8.411846383,5.921936599,0.006740072,1.446736353,8.411846383,4.274577622,,,,
ILMN_1691097,HSP90AA1,NM_001017963.2,14,0.031422869,-1.395266114,11.50710139,-3.42037849,0.009819962,1.44782763,11.50710139,3.800108628,0.03317716,1.38334826,11.50710139,3.332289561,,,,
ILMN_3292082,LOC642367,XR_038808.1,,0.001669323,-1.393957951,7.167234651,-5.201971813,0.000589157,1.404530958,7.167234651,5.320315329,0.005107383,1.327944287,7.167234651,4.442146164,,,,
ILMN_3234615,LOC728650,XR_042473.1,,0.017638338,-1.39153971,7.976384207,-3.772294652,0.001057966,1.548663534,7.976384207,4.993700345,0.004154536,1.490524624,7.976384207,4.55683902,,,,
